Patient Subset,Feature Subset,Engaged,Seed,Summarized,Vectorizer,RandomForest_accuracy,RandomForest_roc_auc,RandomForest_sensitivity,RandomForest_specificity,AdaBoost_accuracy,AdaBoost_roc_auc,AdaBoost_sensitivity,AdaBoost_specificity,XGBoost_accuracy,XGBoost_roc_auc,XGBoost_sensitivity,XGBoost_specificity,Run ID
1,2,0,10,1,2,0.6847,0.7044,0.5429,0.7368,0.6847,0.6957,0.1143,0.9518,0.6847,0.6979,0.5524,0.7193,44
1,2,0,11,0,1,0.6817,0.6363,0.5047,0.6903,0.6787,0.5897,0.5327,0.6195,0.6787,0.6213,0.4673,0.6681,45
1,2,0,11,0,2,0.6817,0.6363,0.5047,0.6903,0.6787,0.5897,0.5327,0.6195,0.6787,0.6213,0.4673,0.6681,46
1,2,0,11,1,1,0.6817,0.6363,0.5047,0.6903,0.6787,0.5897,0.5327,0.6195,0.6787,0.6213,0.4673,0.6681,47
1,2,0,11,1,2,0.6817,0.6363,0.5047,0.6903,0.6787,0.5897,0.5327,0.6195,0.6787,0.6213,0.4673,0.6681,48
1,2,0,12,0,1,0.6967,0.7142,0.5686,0.7576,0.6937,0.6953,0.549,0.7359,0.6907,0.7103,0.5588,0.7446,49
1,2,0,12,0,2,0.6967,0.7142,0.5686,0.7576,0.6937,0.6953,0.549,0.7359,0.6907,0.7103,0.5588,0.7446,50
1,2,0,12,1,1,0.6967,0.7142,0.5686,0.7576,0.6937,0.6953,0.549,0.7359,0.6907,0.7103,0.5588,0.7446,51
1,2,0,12,1,2,0.6967,0.7142,0.5686,0.7576,0.6937,0.6953,0.549,0.7359,0.6907,0.7103,0.5588,0.7446,52
1,2,0,13,0,1,0.6967,0.6769,0.6139,0.6207,0.6967,0.6598,0.6436,0.6379,0.6997,0.6596,0.5644,0.694,53
1,2,0,13,0,2,0.6967,0.6769,0.6139,0.6207,0.6967,0.6598,0.6436,0.6379,0.6997,0.6596,0.5644,0.694,54
1,2,0,13,1,1,0.6967,0.6769,0.6139,0.6207,0.6967,0.6598,0.6436,0.6379,0.6997,0.6596,0.5644,0.694,55
1,2,0,13,1,2,0.6967,0.6769,0.6139,0.6207,0.6967,0.6598,0.6436,0.6379,0.6997,0.6596,0.5644,0.694,56
1,2,0,14,0,1,0.6787,0.6776,0.5185,0.6933,0.6757,0.6506,0.5556,0.6622,0.6787,0.6383,0.5,0.6844,57
1,2,0,14,0,2,0.6787,0.6776,0.5185,0.6933,0.6757,0.6506,0.5556,0.6622,0.6787,0.6383,0.5,0.6844,58
1,2,0,14,1,1,0.6787,0.6776,0.5185,0.6933,0.6757,0.6506,0.5556,0.6622,0.6787,0.6383,0.5,0.6844,59
1,2,0,14,1,2,0.6787,0.6776,0.5185,0.6933,0.6757,0.6506,0.5556,0.6622,0.6787,0.6383,0.5,0.6844,60
1,2,0,15,0,1,0.7297,0.6651,0.5618,0.6844,0.7327,0.6491,0.5169,0.7049,0.7327,0.6709,0.618,0.6803,61
1,2,0,15,0,2,0.7297,0.6651,0.5618,0.6844,0.7327,0.6491,0.5169,0.7049,0.7327,0.6709,0.618,0.6803,62
1,2,0,15,1,1,0.7297,0.6651,0.5618,0.6844,0.7327,0.6491,0.5169,0.7049,0.7327,0.6709,0.618,0.6803,63
1,2,0,15,1,2,0.7297,0.6651,0.5618,0.6844,0.7327,0.6491,0.5169,0.7049,0.7327,0.6709,0.618,0.6803,64
1,2,0,16,0,1,0.6787,0.6625,0.5619,0.6667,0.6847,0.6561,0.6476,0.6404,0.6757,0.6237,0.5048,0.6754,65
1,2,0,16,0,2,0.6787,0.6625,0.5619,0.6667,0.6847,0.6561,0.6476,0.6404,0.6757,0.6237,0.5048,0.6754,66
1,2,0,16,1,1,0.6787,0.6625,0.5619,0.6667,0.6847,0.6561,0.6476,0.6404,0.6757,0.6237,0.5048,0.6754,67
1,2,0,16,1,2,0.6787,0.6625,0.5619,0.6667,0.6847,0.6561,0.6476,0.6404,0.6757,0.6237,0.5048,0.6754,68
1,2,0,17,0,1,0.6727,0.6877,0.5766,0.7117,0.6667,0.6498,0.0,1.0,0.6727,0.676,0.5495,0.7162,69
1,2,0,17,0,2,0.6727,0.6877,0.5766,0.7117,0.6667,0.6498,0.0,1.0,0.6727,0.676,0.5495,0.7162,70
1,2,0,17,1,1,0.6727,0.6877,0.5766,0.7117,0.6667,0.6498,0.0,1.0,0.6727,0.676,0.5495,0.7162,71
1,2,0,17,1,2,0.6727,0.6877,0.5766,0.7117,0.6667,0.6498,0.0,1.0,0.6727,0.676,0.5495,0.7162,72
1,2,0,18,0,1,0.6847,0.6819,0.5524,0.7193,0.6847,0.6586,0.5619,0.6667,0.6847,0.6518,0.4762,0.7325,73
1,2,0,18,0,2,0.6847,0.6819,0.5524,0.7193,0.6847,0.6586,0.5619,0.6667,0.6847,0.6518,0.4762,0.7325,74
1,2,0,18,1,1,0.6847,0.6819,0.5524,0.7193,0.6847,0.6586,0.5619,0.6667,0.6847,0.6518,0.4762,0.7325,75
1,2,0,18,1,2,0.6847,0.6819,0.5524,0.7193,0.6847,0.6586,0.5619,0.6667,0.6847,0.6518,0.4762,0.7325,76
1,2,0,19,0,1,0.6817,0.6624,0.5556,0.6933,0.6757,0.6555,0.5556,0.6978,0.6787,0.6381,0.5185,0.7111,77
1,2,0,19,0,2,0.6817,0.6624,0.5556,0.6933,0.6757,0.6555,0.5556,0.6978,0.6787,0.6381,0.5185,0.7111,78
1,2,0,19,1,1,0.6817,0.6624,0.5556,0.6933,0.6757,0.6555,0.5556,0.6978,0.6787,0.6381,0.5185,0.7111,79
1,2,0,19,1,2,0.6817,0.6624,0.5556,0.6933,0.6757,0.6555,0.5556,0.6978,0.6787,0.6381,0.5185,0.7111,80
1,2,0,20,0,1,0.6937,0.6621,0.6058,0.6507,0.6877,0.648,0.5673,0.655,0.6727,0.6702,0.5288,0.738,81
1,2,0,20,0,2,0.6937,0.6621,0.6058,0.6507,0.6877,0.648,0.5673,0.655,0.6727,0.6702,0.5288,0.738,82
1,2,0,20,1,1,0.6937,0.6621,0.6058,0.6507,0.6877,0.648,0.5673,0.655,0.6727,0.6702,0.5288,0.738,83
1,2,0,20,1,2,0.6937,0.6621,0.6058,0.6507,0.6877,0.648,0.5673,0.655,0.6727,0.6702,0.5288,0.738,84
1,2,0,21,0,1,0.6667,0.6993,0.5893,0.7195,0.6637,0.686,0.0,1.0,0.6607,0.677,0.5357,0.7466,85
1,2,0,21,0,2,0.6667,0.6993,0.5893,0.7195,0.6637,0.686,0.0,1.0,0.6607,0.677,0.5357,0.7466,86
1,2,0,21,1,1,0.6667,0.6993,0.5893,0.7195,0.6637,0.686,0.0,1.0,0.6607,0.677,0.5357,0.7466,87
1,2,0,21,1,2,0.6667,0.6993,0.5893,0.7195,0.6637,0.686,0.0,1.0,0.6607,0.677,0.5357,0.7466,88
1,2,0,22,0,1,0.7117,0.7319,0.6146,0.6962,0.7117,0.7076,0.0521,0.9789,0.6997,0.7225,0.5938,0.7046,89
1,2,0,22,0,2,0.7117,0.7319,0.6146,0.6962,0.7117,0.7076,0.0521,0.9789,0.6997,0.7225,0.5938,0.7046,90
1,2,0,22,1,1,0.7117,0.7319,0.6146,0.6962,0.7117,0.7076,0.0521,0.9789,0.6997,0.7225,0.5938,0.7046,91
1,2,0,22,1,2,0.7117,0.7319,0.6146,0.6962,0.7117,0.7076,0.0521,0.9789,0.6997,0.7225,0.5938,0.7046,92
1,2,0,23,0,1,0.7087,0.7102,0.6122,0.7149,0.7057,0.6751,0.7143,0.6043,0.7087,0.7162,0.5408,0.7362,93
1,2,0,23,0,2,0.7087,0.7102,0.6122,0.7149,0.7057,0.6751,0.7143,0.6043,0.7087,0.7162,0.5408,0.7362,94
1,2,0,23,1,1,0.7087,0.7102,0.6122,0.7149,0.7057,0.6751,0.7143,0.6043,0.7087,0.7162,0.5408,0.7362,95
1,2,0,23,1,2,0.7087,0.7102,0.6122,0.7149,0.7057,0.6751,0.7143,0.6043,0.7087,0.7162,0.5408,0.7362,96
1,2,0,24,0,1,0.7117,0.7315,0.6495,0.7119,0.7087,0.6977,0.6598,0.6864,0.7117,0.744,0.5979,0.7754,97
1,2,0,24,0,2,0.7117,0.7315,0.6495,0.7119,0.7087,0.6977,0.6598,0.6864,0.7117,0.744,0.5979,0.7754,98
1,2,0,24,1,1,0.7117,0.7315,0.6495,0.7119,0.7087,0.6977,0.6598,0.6864,0.7117,0.744,0.5979,0.7754,99
1,2,0,24,1,2,0.7117,0.7315,0.6495,0.7119,0.7087,0.6977,0.6598,0.6864,0.7117,0.744,0.5979,0.7754,100
1,2,0,25,0,1,0.6697,0.6756,0.4818,0.7578,0.6697,0.6517,0.0,1.0,0.6727,0.6754,0.5182,0.7444,101
1,2,0,25,0,2,0.6697,0.6756,0.4818,0.7578,0.6697,0.6517,0.0,1.0,0.6727,0.6754,0.5182,0.7444,102
1,2,0,25,1,1,0.6697,0.6756,0.4818,0.7578,0.6697,0.6517,0.0,1.0,0.6727,0.6754,0.5182,0.7444,103
1,2,0,25,1,2,0.6697,0.6756,0.4818,0.7578,0.6697,0.6517,0.0,1.0,0.6727,0.6754,0.5182,0.7444,104
1,2,0,26,0,1,0.6757,0.6729,0.5556,0.6667,0.6757,0.6302,0.5833,0.6089,0.6757,0.6685,0.537,0.7378,105
1,2,0,26,0,2,0.6757,0.6729,0.5556,0.6667,0.6757,0.6302,0.5833,0.6089,0.6757,0.6685,0.537,0.7378,106
1,2,0,26,1,1,0.6757,0.6729,0.5556,0.6667,0.6757,0.6302,0.5833,0.6089,0.6757,0.6685,0.537,0.7378,107
1,2,0,26,1,2,0.6757,0.6729,0.5556,0.6667,0.6757,0.6302,0.5833,0.6089,0.6757,0.6685,0.537,0.7378,108
1,2,0,27,0,1,0.7117,0.6859,0.5567,0.6737,0.7087,0.6587,0.5876,0.6653,0.7087,0.6649,0.5773,0.6568,109
1,2,0,27,0,2,0.7117,0.6859,0.5567,0.6737,0.7087,0.6587,0.5876,0.6653,0.7087,0.6649,0.5773,0.6568,110
1,2,0,27,1,1,0.7117,0.6859,0.5567,0.6737,0.7087,0.6587,0.5876,0.6653,0.7087,0.6649,0.5773,0.6568,111
1,2,0,27,1,2,0.7117,0.6859,0.5567,0.6737,0.7087,0.6587,0.5876,0.6653,0.7087,0.6649,0.5773,0.6568,112
1,2,0,28,0,1,0.6937,0.7323,0.6275,0.7143,0.6937,0.7017,0.0,1.0,0.7057,0.7226,0.5784,0.7403,113
1,2,0,28,0,2,0.6937,0.7323,0.6275,0.7143,0.6937,0.7017,0.0,1.0,0.7057,0.7226,0.5784,0.7403,114
1,2,0,28,1,1,0.6937,0.7323,0.6275,0.7143,0.6937,0.7017,0.0,1.0,0.7057,0.7226,0.5784,0.7403,115
1,2,0,28,1,2,0.6937,0.7323,0.6275,0.7143,0.6937,0.7017,0.0,1.0,0.7057,0.7226,0.5784,0.7403,116
1,2,0,29,0,1,0.6907,0.7164,0.6569,0.7229,0.6937,0.6946,0.7255,0.6407,0.6937,0.7225,0.6176,0.7273,117
1,2,0,29,0,2,0.6907,0.7164,0.6569,0.7229,0.6937,0.6946,0.7255,0.6407,0.6937,0.7225,0.6176,0.7273,118
1,2,0,29,1,1,0.6907,0.7164,0.6569,0.7229,0.6937,0.6946,0.7255,0.6407,0.6937,0.7225,0.6176,0.7273,119
1,2,0,29,1,2,0.6907,0.7164,0.6569,0.7229,0.6937,0.6946,0.7255,0.6407,0.6937,0.7225,0.6176,0.7273,120
1,2,1,0,0,1,0.8547,0.692,0.0,0.9864,0.8547,0.7137,0.0,0.9796,0.8547,0.659,0.08,0.9728,121
1,2,1,0,0,2,0.8547,0.692,0.0,0.9864,0.8547,0.7137,0.0,0.9796,0.8547,0.659,0.08,0.9728,122
1,2,1,0,1,1,0.8547,0.692,0.0,0.9864,0.8547,0.7137,0.0,0.9796,0.8547,0.659,0.08,0.9728,123
1,2,1,0,1,2,0.8547,0.692,0.0,0.9864,0.8547,0.7137,0.0,0.9796,0.8547,0.659,0.08,0.9728,124
1,2,1,1,0,1,0.8314,0.6711,0.0,1.0,0.8314,0.6922,0.0345,0.972,0.8314,0.6677,0.0345,0.979,125
1,2,1,1,0,2,0.8314,0.6711,0.0,1.0,0.8314,0.6922,0.0345,0.972,0.8314,0.6677,0.0345,0.979,126
1,2,1,1,1,1,0.8314,0.6711,0.0,1.0,0.8314,0.6922,0.0345,0.972,0.8314,0.6677,0.0345,0.979,127
1,2,1,1,1,2,0.8314,0.6711,0.0,1.0,0.8314,0.6922,0.0345,0.972,0.8314,0.6677,0.0345,0.979,128
1,2,1,2,0,1,0.8547,0.6805,0.04,1.0,0.8547,0.6631,0.04,1.0,0.8547,0.6771,0.04,0.9796,129
1,2,1,2,0,2,0.8547,0.6805,0.04,1.0,0.8547,0.6631,0.04,1.0,0.8547,0.6771,0.04,0.9796,130
1,2,1,2,1,1,0.8547,0.6805,0.04,1.0,0.8547,0.6631,0.04,1.0,0.8547,0.6771,0.04,0.9796,131
1,2,1,2,1,2,0.8547,0.6805,0.04,1.0,0.8547,0.6631,0.04,1.0,0.8547,0.6771,0.04,0.9796,132
1,2,1,3,0,1,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,133
1,2,1,3,0,2,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,134
1,2,1,3,1,1,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,135
1,2,1,3,1,2,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,136
1,2,1,4,0,1,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,137
1,2,1,4,0,2,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,138
1,2,1,4,1,1,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,139
1,2,1,4,1,2,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,140
1,2,1,5,0,1,0.907,0.6903,0.125,0.9744,0.907,0.6781,0.125,0.9936,0.8953,0.5976,0.0625,0.9615,141
